id;pagamento;estadocivil;idade;sexo
85;1,00;0;20;0
86;1,00;0;34;1
87;1,00;0;21;1
88;1,00;0;22;1
89;1,00;0;22;1
91;1,00;0;22;1
92;1,00;0;23;0
93;1,00;0;30;1
94;1,00;0;30;1
95;1,00;0;27;1
96;1,00;0;20;1
97;1,00;0;20;1
98;1,00;1;23;1
99;1,00;0;31;0
100;1,00;0;30;1
101;1,00;0;39;1
102;1,00;0;38;0
103;1,00;0;26;1
104;1,00;0;21;0
105;1,00;0;29;1
106;1,00;0;33;0
107;1,00;0;32;1
108;1,00;0;37;1
109;1,00;0;29;1
111;1,00;0;26;1
112;1,00;0;29;1
113;1,00;0;24;1
114;1,00;0;30;0
115;1,00;0;27;1
116;1,00;0;18;0
117;1,00;0;18;0
118;1,00;0;25;1
119;1,00;0;36;1
120;1,00;0;26;1
121;1,00;0;26;1
123;1,00;0;30;1
124;1,00;0;20;1
125;1,00;0;28;1
126;1,00;0;32;1
127;1,00;0;34;1
128;1,00;0;22;1
129;1,00;0;20;0
130;1,00;0;24;1
131;1,00;0;27;1
132;1,00;0;22;1
133;1,00;0;28;1
134;1,00;0;33;0
135;1,00;0;20;1
136;1,00;0;25;1
137;1,00;0;23;1
138;1,00;1;23;0
139;1,00;0;24;0
140;1,00;0;23;1
141;1,00;0;32;1
142;1,00;0;20;0
143;1,00;0;33;0
144;1,00;0;22;1
145;1,00;0;31;0
146;1,00;0;21;1
147;1,00;0;18;1
148;1,00;0;18;1
149;1,00;0;24;1
150;1,00;0;25;0
151;1,00;0;29;0
154;1,00;0;27;1
155;1,00;0;21;0
156;1,00;0;25;0
159;1,00;0;29;1
160;1,00;0;42;0
161;1,00;0;23;0
162;1,00;0;23;1
163;1,00;0;32;1
164;1,00;0;24;1
166;1,00;0;42;0
167;1,00;0;36;1
168;1,00;0;19;0
169;1,00;0;26;0
170;1,00;0;33;1
172;1,00;0;21;1
173;1,00;0;24;0
174;1,00;0;23;1
175;1,00;0;33;0
176;1,00;0;31;0
177;1,00;0;21;0
179;1,00;0;24;0
180;1,00;0;33;1
181;1,00;0;20;0
182;1,00;0;24;0
183;1,00;0;37;0
184;1,00;0;23;0
185;1,00;0;25;0
186;1,00;0;22;0
187;1,00;1;20;1
188;1,00;0;26;1
189;1,00;0;45;1
190;1,00;0;30;0
191;1,00;0;30;0
192;1,00;0;20;1
193;1,00;0;20;1
195;1,00;0;31;0
196;1,00;0;25;1
197;1,00;1;25;1
199;1,00;0;25;0
200;1,00;0;24;0
201;1,00;0;27;0
202;1,00;1;26;0
203;1,00;0;29;0
204;1,00;0;23;0
205;1,00;0;19;1
206;1,00;0;25;0
207;1,00;0;33;0
208;1,00;0;35;0
209;1,00;0;30;1
210;1,00;0;34;0
211;1,00;0;21;1
212;1,00;0;29;1
213;1,00;0;50;1
214;1,00;0;30;1
215;1,00;0;40;1
216;1,00;0;55;1
217;1,00;0;21;1
218;1,00;0;27;1
219;1,00;0;22;1
220;1,00;0;23;1
221;1,00;0;26;1
222;1,00;0;32;1
223;1,00;0;34;0
224;1,00;0;32;1
225;1,00;0;35;0
226;1,00;0;46;0
4;0,00;0;25;1
10;0,00;0;26;0
11;0,00;1;35;1
13;0,00;1;26;0
15;0,00;0;26;0
16;0,00;0;28;0
17;0,00;0;28;0
18;0,00;0;25;0
19;0,00;1;25;0
20;0,00;1;22;1
22;0,00;0;28;1
23;0,00;0;20;1
24;0,00;0;26;0
25;0,00;1;17;0
26;0,00;1;26;1
27;0,00;1;21;1
28;0,00;1;22;0
29;0,00;1;25;1
30;0,00;0;22;0
31;0,00;0;21;0
32;0,00;0;26;0
33;0,00;0;20;0
34;0,00;0;20;1
35;0,00;0;27;1
36;0,00;0;25;0
37;0,00;0;18;0
40;0,00;1;21;0
42;0,00;1;23;0
43;0,00;1;22;0
44;0,00;1;21;1
45;0,00;1;18;1
46;0,00;1;24;0
47;0,00;1;21;0
49;0,00;1;19;0
50;0,00;1;19;1
51;0,00;1;21;1
52;0,00;1;22;0
54;0,00;0;27;0
56;0,00;0;32;1
57;0,00;0;16;0
59;0,00;0;24;0
60;0,00;0;21;0
61;0,00;1;25;0
62;0,00;0;22;0
63;0,00;0;24;0
65;0,00;1;20;0
67;0,00;1;23;0
68;0,00;1;18;0
69;0,00;0;24;1
71;0,00;0;18;0
